School Name,Primary Division,Sport Division,Subdivision,Membership Status,Primary Conference,Sport Conference,HBCU/Non-HBCU,Public/Private,Carnegie Classification,City/State,Primary URL,Secondary URL,Primary Icon
Lees-McRae College,Division II,Division II,Non-DI,Active Member,Conference Carolinas,Conference Carolinas,Non-HBCU,Private,Baccalaureate Colleges,"Banner Elk, NC",lmcbobcats.com,www.lmc.edu,309_309.site.png
Elizabeth City State University,Division II,Division II,Non-DI,Active Member,Central Intercollegiate Athletic Association,Central Intercollegiate Athletic Association,HBCU,Public,Baccalaureate Colleges,"Elizabeth City, NC",www.ecsu.edu,www.ecsuvikings.com,310_310.favicon.ico
Appalachian State University,Division I,Division I,DI FBS,Active Member,Sun Belt Conference,Sun Belt Conference,Non-HBCU,Public,Master's Colleges & Universities,"Boone, NC",www.appstate.edu,www.appstatesports.com,311_311.site.png
University of North Carolina Wilmington,Division I,Division I,DI Subdivision,Active Member,Colonial Athletic Association,Colonial Athletic Association,Non-HBCU,Public,Research Universities,"Wilmington, NC",www.uncw.edu,www.uncwsports.com,312_312.site.png
Lenoir-Rhyne University,Division II,Division II,Non-DI,Active Member,South Atlantic Conference,South Atlantic Conference,Non-HBCU,Private,Master's Colleges & Universities,"Hickory, NC",www.LR.edu,www.lrbears.com,313_313.site.png
Belmont Abbey College,Division II,Division II,Non-DI,Active Member,Conference Carolinas,Conference Carolinas,Non-HBCU,Private,Baccalaureate Colleges,"Belmont, NC",www.abbeyathletics.com,www.belmontabbeycollege.edu,314_314.site.png
Queens University of Charlotte,Division II,Division II,Non-DI,Active Member,South Atlantic Conference,South Atlantic Conference,Non-HBCU,Private,Master's Colleges & Universities,"Charlotte, NC",www.queens.edu,www.queensathletics.com,315_315.site.png
Johnson C. Smith University,Division II,Division II,Non-DI,Active Member,Central Intercollegiate Athletic Association,Central Intercollegiate Athletic Association,HBCU,Private,Baccalaureate Colleges,"Charlotte, NC",goldenbullsports.cstv.com/,www.jcsu.edu/,
The University of North Carolina at Charlotte,Division I,Division I,DI FBS,Active Member,Conference USA,Conference USA,Non-HBCU,Public,Research Universities,"Charlotte, NC",www.charlotte49ers.com,www.uncc.edu,317_317.favicon.ico
Coastal Carolina University,Division I,Division I,DI FBS,Active Member,Sun Belt Conference,Sun Belt Conference,Non-HBCU,Public,Master's Colleges & Universities,"Conway, SC",www.coastal.edu,www.goccusports.com,318_318.favicon.ico
