School Name,Primary Division,Sport Division,Subdivision,Membership Status,Primary Conference,Sport Conference,HBCU/Non-HBCU,Public/Private,Carnegie Classification,City/State ,Primary URL,Secondary URL,Primary Icon,Updated Latitude,Updated Longitude
Temple University,Division I,Division I,DI FBS,Active Member,American Athletic Conference,American Athletic Conference,Non-HBCU,Public,Research Universities,"Philadelphia, PA",www.owlsports.com,www.temple.edu/,280_280.site.png,39.9527237,-75.1635262
Drexel University,Division I,Division I,DI Subdivision,Active Member,Colonial Athletic Association,Colonial Athletic Association,Non-HBCU,Private,Research Universities,"Philadelphia, PA",www.drexel.edu,www.drexeldragons.com,281_281.favicon.ico,39.9527237,-75.1635262
University of Pennsylvania,Division I,Division I,DI FCS,Active Member,The Ivy League,The Ivy League,Non-HBCU,Private,Research Universities,"Philadelphia, PA",www.pennathletics.com,www.upenn.edu/,282_282.favicon.ico,39.9527237,-75.1635262
Saint Joseph's University,Division I,Division I,DI Subdivision,Active Member,Atlantic 10 Conference,Atlantic 10 Conference,Non-HBCU,Private,Master's Colleges & Universities,"Philadelphia, PA",sjuhawks.com,www.sju.edu/,283_283.favicon.ico,39.9527237,-75.1635262
Bryn Mawr College,Division III,Division III,Non-DI,Active Member,Centennial Conference,Centennial Conference,Non-HBCU,Private,Baccalaureate Colleges,"Bryn Mawr, PA",www.brynmawr.edu,www.brynmawr.edu/athletics/,284_284.favicon-194x194.png,40.0238245,-75.31734069085473
Haverford College,Division III,Division III,Non-DI,Active Member,Centennial Conference,Centennial Conference,Non-HBCU,Private,Baccalaureate Colleges,"Haverford, PA",www.haverford.edu,www.haverfordathletics.com,285_285.thumbnail_default.jpg,40.0131672,-75.2943516
Rosemont College,Division III,Division III,Non-DI,Active Member,Colonial States Athletic Conference,Colonial States Athletic Conference,Non-HBCU,Private,Master's Colleges & Universities,"Rosemont, PA",www.rosemont-ravens.com,www.rosemont.edu/,286_286.site.png,40.0256664,-75.3237979
Villanova University,Division I,Division I,DI FCS,Active Member,Big East Conference,Big East Conference,Non-HBCU,Private,Research Universities,"Villanova, PA",www.villanova.com,www.villanova.edu,287_287.favicon.ico,40.0373323,-75.3490769
Eastern University,Division III,Division III,Non-DI,Active Member,Middle Atlantic Conferences,Middle Atlantic Conference Freedom,Non-HBCU,Private,Master's Colleges & Universities,"St. Davids, PA",www.eastern.edu,www.goeasterneagles.com,288_288.favicon.ico,40.0409428,-75.3785234
Cabrini University,Division III,Division III,Non-DI,Active Member,Atlantic East Conference,Atlantic East Conference,Non-HBCU,Private,Master's Colleges & Universities,"Radnor, PA",www.cabrini.edu,www.cabriniathletics.com,289_289.site.png,40.0463001,-75.3595487
Swarthmore College,Division III,Division III,Non-DI,Active Member,Centennial Conference,Centennial Conference,Non-HBCU,Private,Baccalaureate Colleges,"Swarthmore, PA",www.swarthmore.edu/,www.swarthmoreathletics.com/,290_290.site.png,39.9020565,-75.3499124
Widener University,Division III,Division III,Non-DI,Active Member,Middle Atlantic Conferences,Middle Atlantic Conference Commonwealth,Non-HBCU,Private,Research Universities,"Chester, PA",www.widener.edu/,www.widenerpride.com,291_291.favicon.ico,39.849557,-75.3557458
Neumann University,Division III,Division III,Non-DI,Active Member,Atlantic East Conference,Atlantic East Conference,Non-HBCU,Private,Master's Colleges & Universities,"Aston, PA",www.neumann.edu,www.neumannathletics.com,292_292.favicon.ico,39.87265415,-75.44054729049847
Lincoln University (Pennsylvania),Division II,Division II,Non-DI,Active Member,Central Intercollegiate Athletic Association,East Coast Conference,HBCU,Public,Master's Colleges & Universities,"Lincoln University, PA",www.lincoln.edu,www.lulions.com,293_293.favicon.ico,39.8065518,-75.92870551247694
Delaware Valley University,Division III,Division III,Non-DI,Active Member,Middle Atlantic Conferences,Middle Atlantic Conference Freedom,Non-HBCU,Private,Master's Colleges & Universities,"Doylestown, PA",www.delval.edu,www.delval.edu/athletics,294_294.favicon.ico,40.3100446,-75.1304588
Gwynedd Mercy University,Division III,Division III,Non-DI,Active Member,Atlantic East Conference,Atlantic East Conference,Non-HBCU,Private,Master's Colleges & Universities,"Gwynedd Valley, PA",gwyneddathletics.com/,www.gmercyu.edu,295_295.site.png,40.1842749,-75.2562876
Ursinus College,Division III,Division III,Non-DI,Active Member,Centennial Conference,Centennial Conference,Non-HBCU,Private,Baccalaureate Colleges,"Collegeville, PA",www.ursinus.edu/,www.ursinusathletics.com,296_296.thumbnail_default.jpg,40.1856597,-75.451571
University of Valley Forge,Division III,Division III,Non-DI,Active Member,American Collegiate Athletic Association,American Collegiate Athletic Association,Non-HBCU,Private,Baccalaureate Colleges,"Phoenixville, PA",uvfpatriots.com,www.valleyforge.edu,297_297.site.png,40.1303822,-75.5149128
Immaculata University,Division III,Division III,Non-DI,Active Member,Atlantic East Conference,Atlantic East Conference,Non-HBCU,Private,Research Universities,"Immaculata, PA",www.gomightymacs.com,www.immaculata.edu,298_298.site.png,40.0308979,-75.5595448309398
Kutztown University of Pennsylvania,Division II,Division II,Non-DI,Active Member,Pennsylvania State Athletic Conference,Pennsylvania State Athletic Conference,Non-HBCU,Public,Master's Colleges & Universities,"Kutztown, PA",www.kubears.com,www.kutztown.edu,299_299.site.png,40.5173165,-75.7774177
Albright College,Division III,Division III,Non-DI,Active Member,Middle Atlantic Conferences,Middle Atlantic Conference Commonwealth,Non-HBCU,Private,Baccalaureate Colleges,"Reading, PA",www.albright.edu,www.albrightathletics.com,300_300.site.png,40.335345,-75.9279495
Penn State Berks College,Division III,Division III,Non-DI,Active Member,North Eastern Athletic Conference,North Eastern Athletic Conference,Non-HBCU,Public,Baccalaureate Colleges,"Reading, PA",www.bk.psu.edu,www.psuberksathletics.com,301_301.favicon.ico,40.335345,-75.9279495
Alvernia University,Division III,Division III,Non-DI,Active Member,Middle Atlantic Conferences,Middle Atlantic Conference Commonwealth,Non-HBCU,Private,Master's Colleges & Universities,"Reading, PA",athletics.alvernia.edu,www.alvernia.edu,302_302.site.png,40.335345,-75.9279495
Franklin & Marshall College,Division III,Division III,Non-DI,Active Member,Centennial Conference,Centennial Conference,Non-HBCU,Private,Baccalaureate Colleges,"Lancaster, PA",www.fandm.edu,www.godiplomats.com,303_303.favicon-194x194.png,40.08067,-76.2411283
Millersville University of Pennsylvania,Division II,Division II,Non-DI,Active Member,Pennsylvania State Athletic Conference,Pennsylvania State Athletic Conference,Non-HBCU,Public,Master's Colleges & Universities,"Millersville, PA",www.millersville.edu/index.php,www.millersvilleathletics.com/index.aspx,304_304.apple-touch-icon.png,39.997998,-76.3545372
York College (Pennsylvania),Division III,Division III,Non-DI,Active Member,Capital Athletic Conference Inc.,Capital Athletic Conference Inc.,Non-HBCU,Private,Master's Colleges & Universities,"York, PA",www.ycp.edu,www.ycpspartans.com,305_305.favicon-194x194.png,39.962398,-76.727392
Gettysburg College,Division III,Division III,Non-DI,Active Member,Centennial Conference,Centennial Conference,Non-HBCU,Private,Baccalaureate Colleges,"Gettysburg, PA",gettysburgsports.com,www.gettysburg.edu,306_306.favicon.ico,39.8308973,-77.231012
Shippensburg University of Pennsylvania,Division II,Division II,Non-DI,Active Member,Pennsylvania State Athletic Conference,Pennsylvania State Athletic Conference,Non-HBCU,Public,Master's Colleges & Universities,"Shippensburg, PA",www.ship.edu,www.shipraiders.com,307_307.favicon.ico,40.0507198,-77.5205485
Wilson College,Division III,Division III,Non-DI,Active Member,Colonial States Athletic Conference,Colonial States Athletic Conference,Non-HBCU,Private,Master's Colleges & Universities,"Chambersburg, PA",www.wilson.edu,www.wilsonphoenix.com,308_308.site.png,39.9405903,-77.6598624
Elizabethtown College,Division III,Division III,Non-DI,Active Member,Landmark Conference,Landmark Conference,Non-HBCU,Private,Baccalaureate Colleges,"Elizabethtown, PA",www.etown.edu,www.etownbluejays.com,309_309.favicon.ico,40.153364,-76.6042521
Penn State Harrisburg,Division III,Division III,Non-DI,Active Member,North Eastern Athletic Conference,North Eastern Athletic Conference,Non-HBCU,Public,Master's Colleges & Universities,"Middletown, PA",harrisburg.psu.edu/athletics/,www.hbg.psu.edu,310_310.favicon.ico,40.1784423,-74.89305746907641
Messiah College,Division III,Division III,Non-DI,Active Member,Middle Atlantic Conferences,Middle Atlantic Conference Commonwealth,Non-HBCU,Private,Master's Colleges & Universities,"Mechanicsburg, PA",www.gomessiah.com,www.messiah.edu,311_311.site.png,40.2101972,-77.0047276
Dickinson College,Division III,Division III,Non-DI,Active Member,Centennial Conference,Centennial Conference,Non-HBCU,Private,Baccalaureate Colleges,"Carlisle, PA",www.dickinson.edu,www.dickinson.edu/sports,312_312.favicon-194x194.png,40.201499,-77.1890783
Bloomsburg University of Pennsylvania,Division II,Division II,Non-DI,Active Member,Pennsylvania State Athletic Conference,Pennsylvania State Athletic Conference,Non-HBCU,Public,Master's Colleges & Universities,"Bloomsburg, PA",www.bloomu.edu,www.buhuskies.com,313_313.favicon.ico,41.0044958,-76.4537302
Wilkes University,Division III,Division III,Non-DI,Active Member,Middle Atlantic Conferences,Middle Atlantic Conference Freedom,Non-HBCU,Private,Research Universities,"Wilkes-Barre, PA",www.gowilkesu.com,www.wilkes.edu,314_314.site.png,41.2464824,-75.8817316
King's College (Pennsylvania),Division III,Division III,Non-DI,Active Member,Middle Atlantic Conferences,Middle Atlantic Conference Freedom,Non-HBCU,Private,Master's Colleges & Universities,"Wilkes-Barre, PA",www.kings.edu/,www.kingscollegeathletics.com/,315_315.site.png,41.2464824,-75.8817316
Marywood University,Division III,Division III,Non-DI,Active Member,Atlantic East Conference,Atlantic East Conference,Non-HBCU,Private,Master's Colleges & Universities,"Scranton, PA",www.marywood.edu,www.marywoodpacers.com,316_316.site.png,41.4086874,-75.6621294
Clarks Summit University,Division III,Division III,Non-DI,Active Member,Colonial States Athletic Conference,Colonial States Athletic Conference,Non-HBCU,Private,Special Focus Schools,"Clarks Summit, PA",www.clarkssummitu.edu,www.gocsudefenders.com,317_317.site.png,41.4941161,-75.703413
