School Name,Primary Division,Sport Division,Subdivision,Membership Status,Primary Conference,Sport Conference,HBCU/Non-HBCU,Public/Private,Carnegie Classification,City/State ,Primary URL,Secondary URL,Primary Icon,Updated Latitude,Updated Longitude
Northern Illinois University,Division I,Division I,DI FBS,Active Member,Mid-American Conference,Mid-American Conference,Non-HBCU,Public,Research Universities,"De Kalb, IL",www.niu.edu,www.niuhuskies.com,70_70.site.png,41.935768,-88.749078
University of Wisconsin-Madison,Division I,Division I,DI FBS,Active Member,Big Ten Conference,Big Ten Conference,Non-HBCU,Public,Research Universities,"Madison, WI",www.uwbadgers.com,www.wisc.edu/,71_71.favicon.ico,43.074761,-89.3837613
Arkansas State University,Division I,Division I,DI FBS,Active Member,Sun Belt Conference,Sun Belt Conference,Non-HBCU,Public,Research Universities,"State University, AR",www.astate.edu,www.astateredwolves.com,72_72.site.png,35.4747366,-93.4673459
"University of Missouri, Columbia",Division I,Division I,DI FBS,Active Member,Southeastern Conference,Southeastern Conference,Non-HBCU,Public,Research Universities,"Columbia, MO",www.missouri.edu,www.mutigers.com,73_73.site.png,38.951883,-92.3337366
University of Iowa,Division I,Division I,DI FBS,Active Member,Big Ten Conference,Big Ten Conference,Non-HBCU,Public,Research Universities,"Iowa City, IA",hawkeyesports.com,www.uiowa.edu/,74_74.favicon.ico,41.6612561,-91.5299106
"University of Minnesota, Twin Cities",Division I,Division I,DI FBS,Active Member,Big Ten Conference,Big Ten Conference,Non-HBCU,Public,Research Universities,"Minneapolis, MN",www.gophersports.com,www.umn.edu,75_75.favicon.ico,44.9772995,-93.2654692
The University of Southern Mississippi,Division I,Division I,DI FBS,Active Member,Conference USA,Conference USA,Non-HBCU,Public,Research Universities,"Hattiesburg, MS",Southernmiss.com,www.usm.edu/,76_76.favicon.ico,31.3271189,-89.2903392
Tulane University,Division I,Division I,DI FBS,Active Member,American Athletic Conference,American Athletic Conference,Non-HBCU,Private,Research Universities,"New Orleans, LA",www.tulane.edu,www.tulanegreenwave.com/index-main.html,77_77.favicon.ico,29.9499323,-90.0701156
Louisiana State University,Division I,Division I,DI FBS,Active Member,Southeastern Conference,Southeastern Conference,Non-HBCU,Public,Research Universities,"Baton Rouge, LA",www.lsu.edu,www.lsusports.net,78_78.lsu_tiger_logo.svg,30.4459596,-91.18738
University of Louisiana at Lafayette,Division I,Division I,DI FBS,Active Member,Sun Belt Conference,Sun Belt Conference,Non-HBCU,Public,Research Universities,"Lafayette, LA",www.louisiana.edu/,www.ragincajuns.com,79_79.favicon.ico,30.2240897,-92.0198427
University of Louisiana Monroe,Division I,Division I,DI FBS,Active Member,Sun Belt Conference,Sun Belt Conference,Non-HBCU,Public,Research Universities,"Monroe, LA",www.ulm.edu,www.ulmwarhawks.com,80_80.site.png,32.5093109,-92.1193012
Louisiana Tech University,Division I,Division I,DI FBS,Active Member,Conference USA,Conference USA,Non-HBCU,Public,Research Universities,"Ruston, LA",www.latech.edu/,www.latechsports.com/,81_81.site.png,32.5232053,-92.637927
"University of Arkansas, Fayetteville",Division I,Division I,DI FBS,Active Member,Southeastern Conference,Southeastern Conference,Non-HBCU,Public,Research Universities,"Fayetteville, AR",www.arkansasrazorbacks.com,www.uark.edu,82_82.favicon.ico,36.0625843,-94.1574328
University of Houston,Division I,Division I,DI FBS,Active Member,American Athletic Conference,American Athletic Conference,Non-HBCU,Public,Research Universities,"Houston, TX",www.uh.edu,www.uhcougars.com,83_83.favicon.ico,29.7589382,-95.3676974
