School Name,Primary Division,Sport Division,Subdivision,Membership Status,Primary Conference,Sport Conference,HBCU/Non-HBCU,Public/Private,Carnegie Classification,City/State ,Primary URL,Secondary URL
Maryville College (Tennessee),Division III,Division III,Non-DI,Active Member,USA South Athletic Conference,USA South Athletic Conference,Non-HBCU,Private,Baccalaureate Colleges,"Maryville, TN",www.maryvillecollege.edu,www.mcscots.com/landing/index
St. Joseph's College (Long Island),Division III,Division III,Non-DI,Active Member,Skyline Conference,Skyline Conference,Non-HBCU,Private,Master's Colleges & Universities,"Patchogue, NY",www.goldeneagles.com,www.sjcny.edu/
Plattsburgh State University of New York,Division III,Division III,Non-DI,Active Member,State University of New York Athletic Conference,State University of New York Athletic Conference,Non-HBCU,Public,Master's Colleges & Universities,"Plattsburgh, NY",www.gocardinalsports.com/,www.plattsburgh.edu/
Clarkson University,Division III,Division III,Non-DI,Active Member,Liberty League,Liberty League,Non-HBCU,Private,Research Universities,"Potsdam, NY",www.clarkson.edu,www.clarksonathletics.com
St. Lawrence University,Division III,Division III,Non-DI,Active Member,Liberty League,Liberty League,Non-HBCU,Private,Baccalaureate Colleges,"Canton, NY",www.saintsathletics.com,www.stlawu.edu/
State University of New York at Canton,Division III,Division III,Non-DI,Active Member,North Atlantic Conference,North Atlantic Conference,Non-HBCU,Public,Baccalaureate Colleges,"Canton, NY",www.canton.edu/,www.rooathletics.com
Skidmore College,Division III,Division III,Non-DI,Active Member,Liberty League,Liberty League,Non-HBCU,Private,Baccalaureate Colleges,"Saratoga Springs, NY",www.skidmore.edu/,www.skidmore.edu/athletics
Rensselaer Polytechnic Institute,Division III,Division III,Non-DI,Active Member,Liberty League,Liberty League,Non-HBCU,Private,Research Universities,"Troy, NY",www.rpi.edu,www.rpiathletics.com
University at Albany,Division I,Division I,DI FCS,Active Member,America East Conference,America East Conference,Non-HBCU,Public,Research Universities,"Albany, NY",www.albany.edu,www.ualbanysports.com
Union College (New York),Division III,Division III,Non-DI,Active Member,Liberty League,Liberty League,Non-HBCU,Private,Baccalaureate Colleges,"Schenectady, NY",www.union.edu/,www.unionathletics.com/
State University of New York Polytechnic Institute,Division III,Division III,Non-DI,Active Member,North Eastern Athletic Conference,North Eastern Athletic Conference,Non-HBCU,Public,Master's Colleges & Universities,"Utica, NY",www.sunyit.edu,www.wildcats.sunyit.edu
Utica College,Division III,Division III,Non-DI,Active Member,Empire 8,Empire 8,Non-HBCU,Private,Master's Colleges & Universities,"Utica, NY",www.ucpioneers.com,www.utica.edu/
Hamilton College,Division III,Division III,Non-DI,Active Member,New England Small College Athletic Conference,New England Small College Athletic Conference,Non-HBCU,Private,Baccalaureate Colleges,"Clinton, NY",www.hamilton.edu,www.hamilton.edu/athletics
Cazenovia College,Division III,Division III,Non-DI,Active Member,North Eastern Athletic Conference,North Eastern Athletic Conference,Non-HBCU,Private,Baccalaureate Colleges,"Cazenovia, NY",www.cazenovia.edu,www.cazenoviawildcats.com
Le Moyne College,Division II,Division II,Non-DI,Active Member,Northeast-10 Conference,Northeast-10 Conference,Non-HBCU,Private,Master's Colleges & Universities,"Syracuse, NY",www.lemoyne.edu/,www.lemoynedolphins.com
State University of New York at Cortland,Division III,Division III,Non-DI,Active Member,State University of New York Athletic Conference,State University of New York Athletic Conference,Non-HBCU,Public,Master's Colleges & Universities,"Cortland, NY",www.cortland.edu,www.cortland.edu/athletics
Wells College,Division III,Division III,Non-DI,Active Member,North Eastern Athletic Conference,North Eastern Athletic Conference,Non-HBCU,Private,Baccalaureate Colleges,"Aurora, NY",www.wells-express.com,www.wells.edu
State University of New York at Oswego,Division III,Division III,Non-DI,Active Member,State University of New York Athletic Conference,State University of New York Athletic Conference,Non-HBCU,Public,Master's Colleges & Universities,"Oswego, NY",oswegolakers.com/index.aspx,www.oswego.edu/index
University of Rochester,Division III,Division III,Non-DI,Active Member,University Athletic Association,Liberty League,Non-HBCU,Private,Research Universities,"Rochester, NY",www.rochester.edu/,www.rochester.edu/athletics
Rochester Institute of Technology,Division III,Division III,Non-DI,Active Member,Liberty League,Liberty League,Non-HBCU,Private,Research Universities,"Rochester, NY",www.rit.edu/,www.ritathletics.com
"College at Brockport, State University of New York",Division III,Division III,Non-DI,Active Member,State University of New York Athletic Conference,State University of New York Athletic Conference,Non-HBCU,Public,Master's Colleges & Universities,"Brockport, NY",gobrockport.com,www.brockport.edu
Niagara University,Division I,Division I,DI Subdivision,Active Member,Metro Atlantic Athletic Conference,Metro Atlantic Athletic Conference,Non-HBCU,Private,Master's Colleges & Universities,"Niagara University, NY",www.niagara.edu,www.purpleeagles.com
D'Youville College,Division III,Division III,Non-DI,Active Member,Allegheny Mountain Collegiate Conference,Allegheny Mountain Collegiate Conference,Non-HBCU,Private,Research Universities,"Buffalo, NY",athletics.dyc.edu/landing/index,www.dyc.edu
Canisius College,Division I,Division I,DI Subdivision,Active Member,Metro Atlantic Athletic Conference,Metro Atlantic Athletic Conference,Non-HBCU,Private,Master's Colleges & Universities,"Buffalo, NY",www.canisius.edu,www.gogriffs.com
Medaille College,Division III,Division III,Non-DI,Active Member,Allegheny Mountain Collegiate Conference,Allegheny Mountain Collegiate Conference,Non-HBCU,Private,Master's Colleges & Universities,"Buffalo, NY",www.medaille.edu/,www.medaillesports.com
St. John Fisher College,Division III,Division III,Non-DI,Active Member,Empire 8,Empire 8,Non-HBCU,Private,Research Universities,"Rochester, NY",www.sjfc.edu/,www.sjfc.edu/athletics
Hilbert College,Division III,Division III,Non-DI,Active Member,Allegheny Mountain Collegiate Conference,Allegheny Mountain Collegiate Conference,Non-HBCU,Private,Baccalaureate Colleges,"Hamburg, NY",www.hilbert.edu,www.hilberthawks.com
The State University of New York at Fredonia,Division III,Division III,Non-DI,Active Member,State University of New York Athletic Conference,State University of New York Athletic Conference,Non-HBCU,Public,Master's Colleges & Universities,"Fredonia, NY",www.fredonia.edu,www.fredoniabluedevils.com
Houghton College,Division III,Division III,Non-DI,Active Member,Empire 8,Empire 8,Non-HBCU,Private,Baccalaureate Colleges,"Houghton, NY",athletics.houghton.edu,www.houghton.edu
Keuka College,Division III,Division III,Non-DI,Active Member,North Eastern Athletic Conference,North Eastern Athletic Conference,Non-HBCU,Private,Master's Colleges & Universities,"Keuka Park, NY",www.keuka.edu/,www.keuka.edu/sports/index.html
Alfred State College,Division III,Division III,Non-DI,Active Member,Allegheny Mountain Collegiate Conference,Allegheny Mountain Collegiate Conference,Non-HBCU,Public,Baccalaureate Colleges,"Alfred, NY",www.alfredstate.edu,www.alfredstateathletics.com
Cornell University,Division I,Division I,DI FCS,Active Member,The Ivy League,The Ivy League,Non-HBCU,Private,Research Universities,"Ithaca, NY",www.cornell.edu,www.cornellbigred.com
Elmira College,Division III,Division III,Non-DI,Active Member,Empire 8,Empire 8,Non-HBCU,Private,Baccalaureate Colleges,"Elmira, NY",athletics.elmira.edu,www.elmira.edu
Siena College,Division I,Division I,DI Subdivision,Active Member,Metro Atlantic Athletic Conference,Metro Atlantic Athletic Conference,Non-HBCU,Private,Master's Colleges & Universities,"Loudonville, NY",www.siena.edu,www.sienasaints.com
The College of Saint Rose,Division II,Division II,Non-DI,Active Member,Northeast-10 Conference,Northeast-10 Conference,Non-HBCU,Private,Master's Colleges & Universities,"Albany, NY",gogoldenknights.com,www.strose.edu
State University of New York at Oneonta,Division III,Division III,Non-DI,Active Member,State University of New York Athletic Conference,State University of New York Athletic Conference,Non-HBCU,Public,Master's Colleges & Universities,"Oneonta, NY",www.oneonta.edu,www.oneontaathletics.com
Binghamton University,Division I,Division I,DI Subdivision,Active Member,America East Conference,America East Conference,Non-HBCU,Public,Research Universities,"Binghamton, NY",www.binghamton.edu,www.bubearcats.com
State University of New York at Cobleskill,Division III,Division III,Non-DI,Active Member,North Eastern Athletic Conference,North Eastern Athletic Conference,Non-HBCU,Public,Baccalaureate Colleges,"Cobleskill, NY",www.cobleskill.edu/ATHLETICS,www.cobleskill.edu/home.asp
Delaware Valley University,Division III,Division III,Non-DI,Active Member,Middle Atlantic Conferences,Middle Atlantic Conference Freedom,Non-HBCU,Private,Master's Colleges & Universities,"Doylestown, PA",www.delval.edu,www.delval.edu/athletics
Cairn University,Division III,Division III,Non-DI,Active Member,Colonial States Athletic Conference,Colonial States Athletic Conference,Non-HBCU,Private,Master's Colleges & Universities,"Langhorne, PA",www.cairn.edu,www.cairnhighlanders.com
The College of New Jersey,Division III,Division III,Non-DI,Active Member,New Jersey Athletic Conference,New Jersey Athletic Conference,Non-HBCU,Public,Master's Colleges & Universities,"Ewing, NJ",tcnjathletics.com,www.tcnj.edu/
La Salle University,Division I,Division I,DI Subdivision,Active Member,Atlantic 10 Conference,Atlantic 10 Conference,Non-HBCU,Private,Master's Colleges & Universities,"Philadelphia, PA",www.goexplorers.com/,www.lasalle.edu/
Gwynedd Mercy University,Division III,Division III,Non-DI,Active Member,Atlantic East Conference,Atlantic East Conference,Non-HBCU,Private,Master's Colleges & Universities,"Gwynedd Valley, PA",gwyneddathletics.com/,www.gmercyu.edu
Thomas Jefferson University,Division II,Division II,Non-DI,Active Member,Central Atlantic Collegiate Conference,Central Atlantic Collegiate Conference,Non-HBCU,Private,-2.0,"Philadelphia, PA",www.Philaurams.com,www.philau.edu
University of Pennsylvania,Division I,Division I,DI FCS,Active Member,The Ivy League,The Ivy League,Non-HBCU,Private,Research Universities,"Philadelphia, PA",www.pennathletics.com,www.upenn.edu/
University of the Sciences,Division II,Division II,Non-DI,Active Member,Central Atlantic Collegiate Conference,Central Atlantic Collegiate Conference,Non-HBCU,Private,Special Focus Schools,"Philadelphia, PA",www.devilsathletics.com,www.usciences.edu
Saint Joseph's University,Division I,Division I,DI Subdivision,Active Member,Atlantic 10 Conference,Atlantic 10 Conference,Non-HBCU,Private,Master's Colleges & Universities,"Philadelphia, PA",sjuhawks.com,www.sju.edu/
Chestnut Hill College,Division II,Division II,Non-DI,Active Member,Central Atlantic Collegiate Conference,Central Atlantic Collegiate Conference,Non-HBCU,Private,Master's Colleges & Universities,"Philadelphia, PA",www.chc.edu,www.griffinathletics.com
"Penn State University, Abington",Division III,Division III,Non-DI,Active Member,North Eastern Athletic Conference,North Eastern Athletic Conference,Non-HBCU,Public,Baccalaureate Colleges,"Abington, PA",www.abington.psu.edu,www.abingtonsports.com
Arcadia University,Division III,Division III,Non-DI,Active Member,Middle Atlantic Conferences,Middle Atlantic Conference Commonwealth,Non-HBCU,Private,Master's Colleges & Universities,"Glenside, PA",athletics.arcadia.edu,www.arcadia.edu
"Rutgers, The State Univ. of New Jersey, Camden",Division III,Division III,Non-DI,Active Member,New Jersey Athletic Conference,New Jersey Athletic Conference,Non-HBCU,Public,Research Universities,"Camden, NJ",www.camden.rutgers.edu,www.scarletraptors.com
Haverford College,Division III,Division III,Non-DI,Active Member,Centennial Conference,Centennial Conference,Non-HBCU,Private,Baccalaureate Colleges,"Haverford, PA",www.haverford.edu,www.haverfordathletics.com
Villanova University,Division I,Division I,DI FCS,Active Member,Big East Conference,Big East Conference,Non-HBCU,Private,Research Universities,"Villanova, PA",www.villanova.com,www.villanova.edu
Eastern University,Division III,Division III,Non-DI,Active Member,Middle Atlantic Conferences,Middle Atlantic Conference Freedom,Non-HBCU,Private,Master's Colleges & Universities,"St. Davids, PA",www.eastern.edu,www.goeasterneagles.com
Cabrini University,Division III,Division III,Non-DI,Active Member,Atlantic East Conference,Atlantic East Conference,Non-HBCU,Private,Master's Colleges & Universities,"Radnor, PA",www.cabrini.edu,www.cabriniathletics.com
Swarthmore College,Division III,Division III,Non-DI,Active Member,Centennial Conference,Centennial Conference,Non-HBCU,Private,Baccalaureate Colleges,"Swarthmore, PA",www.swarthmore.edu/,www.swarthmoreathletics.com/
Widener University,Division III,Division III,Non-DI,Active Member,Middle Atlantic Conferences,Middle Atlantic Conference Commonwealth,Non-HBCU,Private,Research Universities,"Chester, PA",www.widener.edu/,www.widenerpride.com
Neumann University,Division III,Division III,Non-DI,Active Member,Atlantic East Conference,Atlantic East Conference,Non-HBCU,Private,Master's Colleges & Universities,"Aston, PA",www.neumann.edu,www.neumannathletics.com
West Chester University of Pennsylvania,Division II,Division II,Non-DI,Active Member,Pennsylvania State Athletic Conference,Pennsylvania State Athletic Conference,Non-HBCU,Public,Master's Colleges & Universities,"West Chester, PA",www.wcupa.edu/,www.wcupagoldenrams.com
University of Scranton,Division III,Division III,Non-DI,Active Member,Landmark Conference,Landmark Conference,Non-HBCU,Private,Master's Colleges & Universities,"Scranton, PA",athletics.scranton.edu/landing/index,www.scranton.edu
Marywood University,Division III,Division III,Non-DI,Active Member,Atlantic East Conference,Atlantic East Conference,Non-HBCU,Private,Master's Colleges & Universities,"Scranton, PA",www.marywood.edu,www.marywoodpacers.com
Clarks Summit University,Division III,Division III,Non-DI,Active Member,Colonial States Athletic Conference,Colonial States Athletic Conference,Non-HBCU,Private,Special Focus Schools,"Clarks Summit, PA",www.clarkssummitu.edu,www.gocsudefenders.com
Keystone College,Division III,Division III,Non-DI,Active Member,Colonial States Athletic Conference,Colonial States Athletic Conference,Non-HBCU,Private,Baccalaureate Colleges,"La Plume, PA",www.keystone.edu,www.keystone.edu/athletics
King's College (Pennsylvania),Division III,Division III,Non-DI,Active Member,Middle Atlantic Conferences,Middle Atlantic Conference Freedom,Non-HBCU,Private,Master's Colleges & Universities,"Wilkes-Barre, PA",www.kings.edu/,www.kingscollegeathletics.com/
Misericordia University,Division III,Division III,Non-DI,Active Member,Middle Atlantic Conferences,Middle Atlantic Conference Freedom,Non-HBCU,Private,Research Universities,"Dallas, PA",www.misericordia.edu/,www.misericordia.edu/athletics
Albright College,Division III,Division III,Non-DI,Active Member,Middle Atlantic Conferences,Middle Atlantic Conference Commonwealth,Non-HBCU,Private,Baccalaureate Colleges,"Reading, PA",www.albright.edu,www.albrightathletics.com
Penn State Berks College,Division III,Division III,Non-DI,Active Member,North Eastern Athletic Conference,North Eastern Athletic Conference,Non-HBCU,Public,Baccalaureate Colleges,"Reading, PA",www.bk.psu.edu,www.psuberksathletics.com
Alvernia University,Division III,Division III,Non-DI,Active Member,Middle Atlantic Conferences,Middle Atlantic Conference Commonwealth,Non-HBCU,Private,Master's Colleges & Universities,"Reading, PA",athletics.alvernia.edu,www.alvernia.edu
Kutztown University of Pennsylvania,Division II,Division II,Non-DI,Active Member,Pennsylvania State Athletic Conference,Pennsylvania State Athletic Conference,Non-HBCU,Public,Master's Colleges & Universities,"Kutztown, PA",www.kubears.com,www.kutztown.edu
Lafayette College,Division I,Division I,DI FCS,Active Member,Patriot League,Patriot League,Non-HBCU,Private,Baccalaureate Colleges,"Easton, PA",www.goleopards.com,www.lafayette.edu
East Stroudsburg University of Pennsylvania,Division II,Division II,Non-DI,Active Member,Pennsylvania State Athletic Conference,Pennsylvania State Athletic Conference,Non-HBCU,Public,Master's Colleges & Universities,"East Stroudsburg, PA",www.esu.edu,www.esu.edu/athletics
Moravian College,Division III,Division III,Non-DI,Active Member,Landmark Conference,Landmark Conference,Non-HBCU,Private,Baccalaureate Colleges,"Bethlehem, PA",moraviansports.com/landing/index,www.moravian.edu
Lehigh University,Division I,Division I,DI FCS,Active Member,Patriot League,Patriot League,Non-HBCU,Private,Research Universities,"Bethlehem, PA",www.lehighsports.com/,www1.lehigh.edu/
DeSales University,Division III,Division III,Non-DI,Active Member,Middle Atlantic Conferences,Middle Atlantic Conference Freedom,Non-HBCU,Private,Master's Colleges & Universities,"Center Valley, PA",athletics.desales.edu,www.desales.edu
Muhlenberg College,Division III,Division III,Non-DI,Active Member,Centennial Conference,Centennial Conference,Non-HBCU,Private,Baccalaureate Colleges,"Allentown, PA",www.muhlenberg.edu,www.muhlenberg.edu/main/athletics/
Lincoln University (Pennsylvania),Division II,Division II,Non-DI,Active Member,Central Intercollegiate Athletic Association,East Coast Conference,HBCU,Public,Master's Colleges & Universities,"Lincoln University, PA",www.lincoln.edu,www.lulions.com
Lancaster Bible College,Division III,Division III,Non-DI,Active Member,North Eastern Athletic Conference,North Eastern Athletic Conference,Non-HBCU,Private,Master's Colleges & Universities,"Lancaster, PA",www.lbc.edu,www.lbcchargers.com
Millersville University of Pennsylvania,Division II,Division II,Non-DI,Active Member,Pennsylvania State Athletic Conference,Pennsylvania State Athletic Conference,Non-HBCU,Public,Master's Colleges & Universities,"Millersville, PA",www.millersville.edu/index.php,www.millersvilleathletics.com/index.aspx
York College (Pennsylvania),Division III,Division III,Non-DI,Active Member,Capital Athletic Conference Inc.,Capital Athletic Conference Inc.,Non-HBCU,Private,Master's Colleges & Universities,"York, PA",www.ycp.edu,www.ycpspartans.com
Elizabethtown College,Division III,Division III,Non-DI,Active Member,Landmark Conference,Landmark Conference,Non-HBCU,Private,Baccalaureate Colleges,"Elizabethtown, PA",www.etown.edu,www.etownbluejays.com
Lebanon Valley College,Division III,Division III,Non-DI,Active Member,Middle Atlantic Conferences,Middle Atlantic Conference Commonwealth,Non-HBCU,Private,Master's Colleges & Universities,"Annville, PA",www.godutchmen.com,www.lvc.edu
Penn State Harrisburg,Division III,Division III,Non-DI,Active Member,North Eastern Athletic Conference,North Eastern Athletic Conference,Non-HBCU,Public,Master's Colleges & Universities,"Middletown, PA",harrisburg.psu.edu/athletics/,www.hbg.psu.edu
Bloomsburg University of Pennsylvania,Division II,Division II,Non-DI,Active Member,Pennsylvania State Athletic Conference,Pennsylvania State Athletic Conference,Non-HBCU,Public,Master's Colleges & Universities,"Bloomsburg, PA",www.bloomu.edu,www.buhuskies.com
Pennsylvania College of Technology,Division III,Division III,Non-DI,Active Member,North Eastern Athletic Conference,North Eastern Athletic Conference,Non-HBCU,Public,Baccalaureate Colleges,"Williamsport, PA",athletics.pct.edu,www.pct.edu
Mansfield University of Pennsylvania,Division II,Division II,Non-DI,Active Member,Pennsylvania State Athletic Conference,Pennsylvania State Athletic Conference,Non-HBCU,Public,Baccalaureate Colleges,"Mansfield, PA",www.gomounties.com,www.mansfield.edu
Bucknell University,Division I,Division I,DI FCS,Active Member,Patriot League,Patriot League,Non-HBCU,Private,Baccalaureate Colleges,"Lewisburg, PA",bucknell.edu,bucknellbison.com
Susquehanna University,Division III,Division III,Non-DI,Active Member,Landmark Conference,Landmark Conference,Non-HBCU,Private,Baccalaureate Colleges,"Selinsgrove, PA",www.gosusqu.com,www.susqu.edu
Dickinson College,Division III,Division III,Non-DI,Active Member,Centennial Conference,Centennial Conference,Non-HBCU,Private,Baccalaureate Colleges,"Carlisle, PA",www.dickinson.edu,www.dickinson.edu/sports
Messiah College,Division III,Division III,Non-DI,Active Member,Middle Atlantic Conferences,Middle Atlantic Conference Commonwealth,Non-HBCU,Private,Master's Colleges & Universities,"Mechanicsburg, PA",www.gomessiah.com,www.messiah.edu
Stony Brook University,Division I,Division I,DI FCS,Active Member,America East Conference,America East Conference,Non-HBCU,Public,Research Universities,"Stony Brook, NY",www.stonybrook.edu,www.stonybrookathletics.com
Farmingdale State College,Division III,Division III,Non-DI,Active Member,Skyline Conference,Skyline Conference,Non-HBCU,Public,Baccalaureate Colleges,"Farmingdale, NY",www.farmingdale.edu,www.farmingdalesports.com
Pace University,Division II,Division II,Non-DI,Active Member,Northeast-10 Conference,Northeast-10 Conference,Non-HBCU,Private,Research Universities,"Pleasantville, NY",www.pace.edu,www.paceuathletics.com
New York Institute of Technology,Division II,Division II,Non-DI,Active Member,East Coast Conference,East Coast Conference,Non-HBCU,Private,Master's Colleges & Universities,"Old Westbury, NY",www.nyit.edu,www.nyit.edu/athletics
Adelphi University,Division II,Division II,Non-DI,Active Member,Northeast-10 Conference,Northeast-10 Conference,Non-HBCU,Private,Research Universities,"Garden City, NY",www.adelphi.edu,www.aupanthers.com
Molloy College,Division II,Division II,Non-DI,Active Member,East Coast Conference,East Coast Conference,Non-HBCU,Private,Master's Colleges & Universities,"Rockville Centre, NY",www.molloy.edu/,www.molloylions.com
State University College at Old Westbury,Division III,Division III,Non-DI,Active Member,Skyline Conference,Skyline Conference,Non-HBCU,Public,Master's Colleges & Universities,"Old Westbury, NY",www.oldwestbury.edu,www.oldwestburypanthers.com
Hofstra University,Division I,Division I,DI Subdivision,Active Member,Colonial Athletic Association,Colonial Athletic Association,Non-HBCU,Private,Research Universities,"Hempstead, NY",www.gohofstra.com,www.hofstra.edu
"Purchase College, State University of New York",Division III,Division III,Non-DI,Active Member,Skyline Conference,Skyline Conference,Non-HBCU,Public,Baccalaureate Colleges,"Purchase, NY",www.purchase.edu,www.purchasecollegeathletics.com
U.S. Merchant Marine Academy,Division III,Division III,Non-DI,Active Member,Skyline Conference,Skyline Conference,Non-HBCU,Public,Baccalaureate Colleges,"Kings Point, NY",usmmasports.com,www.usmma.edu
Mercy College,Division II,Division II,Non-DI,Active Member,East Coast Conference,East Coast Conference,Non-HBCU,Private,Master's Colleges & Universities,"Dobbs Ferry, NY",www.mercy.edu,www.mercyathletics.com
St. Thomas Aquinas College,Division II,Division II,Non-DI,Active Member,East Coast Conference,East Coast Conference,Non-HBCU,Private,Master's Colleges & Universities,"Sparkill, NY",www.stac.edu/,www.stacathletics.com
Dominican College (New York),Division II,Division II,Non-DI,Active Member,Central Atlantic Collegiate Conference,Central Atlantic Collegiate Conference,Non-HBCU,Private,Master's Colleges & Universities,"Orangeburg, NY",www.chargerathletics.com,www.dc.edu
Nyack College,Division II,Division II,Non-DI,Active Member,Central Atlantic Collegiate Conference,Central Atlantic Collegiate Conference,Non-HBCU,Private,Master's Colleges & Universities,"Nyack, NY",www.nyack.edu,www.nyack.edu/athletics
Ramapo College,Division III,Division III,Non-DI,Active Member,New Jersey Athletic Conference,New Jersey Athletic Conference,Non-HBCU,Public,Master's Colleges & Universities,"Mahwah, NJ",www.ramapo.edu,www.ramapoathletics.edu
Iona College,Division I,Division I,DI Subdivision,Active Member,Metro Atlantic Athletic Conference,Metro Atlantic Athletic Conference,Non-HBCU,Private,Master's Colleges & Universities,"New Rochelle, NY",www.icgaels.com,www.iona.edu
Queens College (New York),Division II,Division II,Non-DI,Active Member,East Coast Conference,East Coast Conference,Non-HBCU,Public,Master's Colleges & Universities,"Queens, NY",queensknights.com,www.qc.cuny.edu
St. John's University (New York),Division I,Division I,DI Subdivision,Active Member,Big East Conference,Big East Conference,Non-HBCU,Private,Research Universities,"Queens, NY",www.redstormsports.com,www.stjohns.edu
Concordia College (New York),Division II,Division II,Non-DI,Active Member,Central Atlantic Collegiate Conference,Central Atlantic Collegiate Conference,Non-HBCU,Private,Master's Colleges & Universities,"Bronxville, NY",www.concordia-ny.edu,www.concordiaClippers.com
Fordham University,Division I,Division I,DI FCS,Active Member,Atlantic 10 Conference,Atlantic 10 Conference,Non-HBCU,Private,Research Universities,"Bronx, NY",www.fordham.edu,www.fordhamsports.com
Long Island University,Division I,Division I,DI FCS,Active Member,Northeast Conference,Northeast Conference,Non-HBCU,Private,-2.0,"Brookville, NY",www.brooklyn.liu.edu,www.liuathletics.com
St. Joseph's College (Brooklyn),Division III,Division III,Non-DI,Active Member,Skyline Conference,Skyline Conference,Non-HBCU,Private,Master's Colleges & Universities,"Brooklyn, NY",www.sjcbears.com,www.sjcny.edu/
New York University,Division III,Division III,Non-DI,Active Member,University Athletic Association,University Athletic Association,Non-HBCU,Private,Research Universities,"New York, NY",www.gonyuathletics.com,www.nyu.edu/
Baruch College,Division III,Division III,Non-DI,Active Member,City University of New York Athletic Conference,City University of New York Athletic Conference,Non-HBCU,Public,Master's Colleges & Universities,"New York, NY",www.baruch.cuny.edu,www.baruchathletics.com
John Jay College of Criminal Justice,Division III,Division III,Non-DI,Active Member,City University of New York Athletic Conference,City University of New York Athletic Conference,Non-HBCU,Public,Master's Colleges & Universities,"New York, NY",www.jjay.cuny.edu/,www.johnjayathletics.com
Stevens Institute of Technology,Division III,Division III,Non-DI,Active Member,Middle Atlantic Conferences,Middle Atlantic Conference Freedom,Non-HBCU,Private,Research Universities,"Hoboken, NJ",www.stevens.edu,www.stevensducks.com
Saint Peter's University,Division I,Division I,DI Subdivision,Active Member,Metro Atlantic Athletic Conference,Metro Atlantic Athletic Conference,Non-HBCU,Private,Master's Colleges & Universities,"Jersey City, NJ",www.saintpeters.edu.,www.saintpeterspeacocks.com
New Jersey City University,Division III,Division III,Non-DI,Active Member,New Jersey Athletic Conference,New Jersey Athletic Conference,Non-HBCU,Public,Master's Colleges & Universities,"Jersey City, NJ",www.njcu.edu,www.njcugothicknights.com
Wagner College,Division I,Division I,DI FCS,Active Member,Northeast Conference,Northeast Conference,Non-HBCU,Private,Master's Colleges & Universities,"Staten Island, NY",www.wagner.edu,www.wagnerathletics.com
College of Staten Island,Division III,Division III,Non-DI,Reclass DIII to DII (B20.6.3.1),City University of New York Athletic Conference,City University of New York Athletic Conference,Non-HBCU,Public,Master's Colleges & Universities,"Staten Island, NY",www.csi.cuny.edu,www.csidolphins.com
Bloomfield College,Division II,Division II,Non-DI,Active Member,Central Atlantic Collegiate Conference,Central Atlantic Collegiate Conference,Non-HBCU,Private,Baccalaureate Colleges,"Bloomfield, NJ",www.bcbearsathletics.com,www.bloomfield.edu
Felician University,Division II,Division II,Non-DI,Active Member,Central Atlantic Collegiate Conference,Central Atlantic Collegiate Conference,Non-HBCU,Private,Master's Colleges & Universities,"Rutherford, NJ",www.felician.edu,www.felicianathletics.com
"Fairleigh Dickinson University, Metropolitan Campus",Division I,Division I,DI Subdivision,Active Member,Northeast Conference,Northeast Conference,Non-HBCU,Private,Master's Colleges & Universities,"Teaneck, NJ",www.fdu.edu,www.fduknights.com
Montclair State University,Division III,Division III,Non-DI,Active Member,New Jersey Athletic Conference,New Jersey Athletic Conference,Non-HBCU,Public,Research Universities,"Montclair, NJ",www.montclair.edu/,www.montclairathletics.com
College of Mount Saint Vincent,Division III,Division III,Non-DI,Active Member,Skyline Conference,Skyline Conference,Non-HBCU,Private,Master's Colleges & Universities,"Bronx, NY",cmsvathletics.com/,www.mountsaintvincent.edu
Manhattan College,Division I,Division I,DI Subdivision,Active Member,Metro Atlantic Athletic Conference,Metro Atlantic Athletic Conference,Non-HBCU,Private,Master's Colleges & Universities,"Riverdale, NY",www.gojaspers.com,www.manhattan.edu
Caldwell University,Division II,Division II,Non-DI,Active Member,Central Atlantic Collegiate Conference,Central Atlantic Collegiate Conference,Non-HBCU,Private,Master's Colleges & Universities,"Caldwell, NJ",www.caldwell.edu/,www.caldwellathletics.com
State University of New York Maritime College,Division III,Division III,Non-DI,Active Member,Skyline Conference,Skyline Conference,Non-HBCU,Public,Master's Colleges & Universities,"Throggs Neck, NY",www.maritimeathletics.com,www.sunymaritime.edu/
Columbia University-Barnard College,Division I,Division I,DI FCS,Active Member,The Ivy League,The Ivy League,Non-HBCU,Private,Research Universities,"New York, NY",www.columbia.edu,www.gocolumbialions.com/
The City College of New York,Division III,Division III,Non-DI,Active Member,City University of New York Athletic Conference,City University of New York Athletic Conference,Non-HBCU,Public,Research Universities,"New York, NY",www.ccny.cuny.edu,www.ccnyathletics.com
Yeshiva University,Division III,Division III,Non-DI,Active Member,Skyline Conference,Skyline Conference,Non-HBCU,Private,Research Universities,"New York, NY",www.yu.edu/,www.yumacs.com
"Rutgers, The State Univ. of New Jersey, Newark",Division III,Division III,Non-DI,Active Member,New Jersey Athletic Conference,New Jersey Athletic Conference,Non-HBCU,Public,Research Universities,"Newark, NJ",www.newark.rutgers.edu,www.rutgersnewarkathletics.com
New Jersey Institute of Technology,Division I,Division I,DI Subdivision,Active Member,ASUN Conference,ASUN Conference,Non-HBCU,Public,Research Universities,"Newark, NJ",www.njit.edu/,www.njithighlanders.com
Seton Hall University,Division I,Division I,DI Subdivision,Active Member,Big East Conference,Big East Conference,Non-HBCU,Private,Research Universities,"South Orange, NJ",www.shu.edu,www.shupirates.com
