School Name,Primary Division,Sport Division,Subdivision,Membership Status,Primary Conference,Sport Conference,HBCU/Non-HBCU,Public/Private,Carnegie Classification,City/State ,Primary URL,Secondary URL,Primary Icon
Colorado College,Division III,Division III,Non-DI,Active Member,Southern Collegiate Athletic Conference,Southern Collegiate Athletic Conference,Non-HBCU,Private,Baccalaureate Colleges,"Colorado Springs, CO",www.cctigers.com,www.coloradocollege.edu/,903_903.favicon.ico
Adams State University,Division II,Division II,Non-DI,Active Member,Rocky Mountain Athletic Conference,Rocky Mountain Athletic Conference,Non-HBCU,Public,Master's Colleges & Universities,"Alamosa, CO",www.adams.edu,www.asugrizzlies.com,904_904.site.png
Utah Valley University,Division I,Division I,DI Subdivision,Active Member,Western Athletic Conference,Western Athletic Conference,Non-HBCU,Public,Master's Colleges & Universities,"Orem, UT",www.uvu.edu,www.wolverinegreen.com,905_905.site.png
Westminster College (Utah),Division II,Division II,Non-DI,Active Member,Rocky Mountain Athletic Conference,Rocky Mountain Athletic Conference,Non-HBCU,Private,Master's Colleges & Universities,"Salt Lake City, UT",www.westminstercollege.edu,www.westminstergriffins.com,906_906.site.png
Weber State University,Division I,Division I,DI FCS,Active Member,Big Sky Conference,Big Sky Conference,Non-HBCU,Public,Master's Colleges & Universities,"Ogden, UT",www.weber.edu,www.weberstatesports.com/,907_907.favicon.ico
Utah State University,Division I,Division I,DI FBS,Active Member,Mountain West Conference,Mountain West Conference,Non-HBCU,Public,Research Universities,"Logan, UT",utahstateaggies.com,www.usu.edu/,908_908.favicon.ico
"University of Nevada, Reno",Division I,Division I,DI FBS,Active Member,Mountain West Conference,Mountain West Conference,Non-HBCU,Public,Research Universities,"Reno, NV",www.nevadawolfpack.com,www.unr.edu,909_909.favicon.ico
"California State University, Chico",Division II,Division II,Non-DI,Active Member,California Collegiate Athletic Association,California Collegiate Athletic Association,Non-HBCU,Public,Master's Colleges & Universities,"Chico, CA",www.chicowildcats.com,www.csuchico.edu,910_910.favicon.ico
Humboldt State University,Division II,Division II,Non-DI,Active Member,California Collegiate Athletic Association,California Collegiate Athletic Association,Non-HBCU,Public,Master's Colleges & Universities,"Arcata, CA",www.hsulumberjacks.com,www.humboldt.edu,911_911.site.png
Sonoma State University,Division II,Division II,Non-DI,Active Member,California Collegiate Athletic Association,California Collegiate Athletic Association,Non-HBCU,Public,Master's Colleges & Universities,"Rohnert Park, CA",www.sonoma.edu/,www.sonomaseawolves.com,912_912.site.png
"California State University, East Bay",Division II,Division II,Non-DI,Active Member,California Collegiate Athletic Association,California Collegiate Athletic Association,Non-HBCU,Public,Master's Colleges & Universities,"Hayward, CA",www.csueastbay.edu,www.eastbaypioneers.com,913_913.site.png
