School Name,Primary Division,Sport Division,Subdivision,Membership Status,Primary Conference,Sport Conference,HBCU/Non-HBCU,Public/Private,Carnegie Classification,City/State ,Primary URL,Secondary URL,Primary Icon
Emerson College,Division III,Division III,Non-DI,Active Member,New England Women's and Men's Athletic Conference,New England Women's and Men's Athletic Conference,Non-HBCU,Private,Master's Colleges & Universities,"Boston, MA",www.emerson.edu,www.emersonlions.com,40_40.thumbnail_default.jpg
Simmons University,Division III,Division III,Non-DI,Active Member,Great Northeast Athletic Conference,Great Northeast Athletic Conference,Non-HBCU,Private,Research Universities,"Boston, MA",www.simmons.edu/,www.simmons.edu/athletics,41_41.favicon-194x194.png
Suffolk University,Division III,Division III,Non-DI,Active Member,Great Northeast Athletic Conference,Great Northeast Athletic Conference,Non-HBCU,Private,Master's Colleges & Universities,"Boston, MA",www.gosuffolkrams.com,www.suffolk.edu/,42_42.thumbnail_default.jpg
Northeastern University,Division I,Division I,DI Subdivision,Active Member,Colonial Athletic Association,Colonial Athletic Association,Non-HBCU,Private,Research Universities,"Boston, MA",www.gonu.com,www.northeastern.edu,43_43.site.png
Eastern Nazarene College,Division III,Division III,Non-DI,Active Member,New England Collegiate Conference,New England Collegiate Conference,Non-HBCU,Private,Baccalaureate Colleges,"Quincy, MA",www.enc.edu,www.enc.edu/athletics,45_45.thumbnail_default.jpg
Curry College,Division III,Division III,Non-DI,Active Member,Commonwealth Coast Conference,Commonwealth Coast Conference,Non-HBCU,Private,Master's Colleges & Universities,"Milton, MA",www.curry.edu,www.curryathletics.com,46_46.thumbnail_default.jpg
Dean College,Division III,Division III,Non-DI,Provisional Member,New England Collegiate Conference,New England Collegiate Conference,Non-HBCU,Private,Baccalaureate Colleges,"Franklin, MA",www.dean.edu,www.deanbulldogs.com,47_47.favicon-194x194.png
Boston College,Division I,Division I,DI FBS,Active Member,Atlantic Coast Conference,Atlantic Coast Conference,Non-HBCU,Private,Research Universities,"Chestnut Hill, MA",www.bc.edu,www.bceagles.com,48_48.site.png
Babson College,Division III,Division III,Non-DI,Active Member,New England Women's and Men's Athletic Conference,New England Women's and Men's Athletic Conference,Non-HBCU,Private,Special Focus Schools,"Babson Park, MA",www.babson.edu,www.babsonathletics.com,49_49.thumbnail_default.jpg
Bentley University,Division II,Division II,Non-DI,Active Member,Northeast-10 Conference,Northeast-10 Conference,Non-HBCU,Private,Master's Colleges & Universities,"Waltham, MA",www.bentley.edu,www.bentley.edu/athletics,50_50.favicon-194x194.png
Brandeis University,Division III,Division III,Non-DI,Active Member,University Athletic Association,University Athletic Association,Non-HBCU,Private,Research Universities,"Waltham, MA",www.brandeis.edu,www.brandeisjudges.com,51_51.thumbnail_default.jpg
Lasell University,Division III,Division III,Non-DI,Active Member,Great Northeast Athletic Conference,Great Northeast Athletic Conference,Non-HBCU,Private,Master's Colleges & Universities,"Newton, MA",laserpride.lasell.edu,www.lasell.edu,52_52.apple-touch-icon-180x180.png
Wellesley College,Division III,Division III,Non-DI,Active Member,New England Women's and Men's Athletic Conference,New England Women's and Men's Athletic Conference,Non-HBCU,Private,Baccalaureate Colleges,"Wellesley, MA",www.wellesley.edu,www.wellesleyblue.com,53_53.thumbnail_default.jpg
Regis College (Massachusetts),Division III,Division III,Non-DI,Active Member,Great Northeast Athletic Conference,Great Northeast Athletic Conference,Non-HBCU,Private,Special Focus Schools,"Weston, MA",www.goregispride.com,www.regiscollege.edu/,54_54.thumbnail_default.jpg
Merrimack College,Division II,Division II,Non-DI,II Reclassifying to I (B20.5.2.1),Northeast Conference,Northeast Conference,Non-HBCU,Private,Master's Colleges & Universities,"North Andover, MA",www.merrimack.edu,www.merrimackathletics.com,55_55.favicon.ico
Framingham State University,Division III,Division III,Non-DI,Active Member,Massachusetts State Collegiate Athletic Conference,Massachusetts State Collegiate Athletic Conference,Non-HBCU,Public,Master's Colleges & Universities,"Framingham, MA",www.framingham.edu,www.fsurams.com,56_56.thumbnail_default.jpg
Fitchburg State University,Division III,Division III,Non-DI,Active Member,Massachusetts State Collegiate Athletic Conference,Massachusetts State Collegiate Athletic Conference,Non-HBCU,Public,Master's Colleges & Universities,"Fitchburg, MA",www.fitchburgfalcons.com,www.fitchburgstate.edu,57_57.thumbnail_default.jpg
